"","Year","country_code","country_name","lfpr_female","family_benefits_exp","per_female_tertiary","position_guarantee","mandatory_leave_days","employment_services","epl_score","female_politicians"
"57",2009,"GBR","United Kingdom",55.4879989624023,3.83,56.97435,"Yes",NA,79.2779998779297,1.7585034,NA
"58",2009,"USA","United States",58.1450004577637,0.739,57.13252,"Yes",NA,79.5800018310547,1.1714286,NA
"59",2010,"AUT","Austria",53.5069999694824,2.817,NA,NA,28.3,69.8789978027344,2.4421768,28.3
"60",2010,"BEL","Belgium",47.4910011291504,2.811,55.18842,NA,38.9,75.2730026245117,3.1309524,38.9
"61",2010,"BGR","Bulgaria",47.6980018615723,NA,55.51542,NA,20.8,60.2060012817383,NA,20.8
"62",2010,"HRV","Croatia",46.193000793457,NA,56.30585,NA,23.5,58.2939987182617,NA,23.5
"63",2010,"CYP","Cyprus",57.6100006103516,NA,46.12664,NA,12.5,75.802001953125,NA,12.5
"64",2010,"CZE","Czech Republic",49.2319984436035,2.38,56.81919,NA,21,58.9169998168945,2.7511337,21
"65",2010,"DNK","Denmark",59.798999786377,3.791,58.06407,NA,38,77.9710006713867,2.2749434,38
"66",2010,"EST","Estonia",55.0250015258789,2.561,60.93209,NA,22.8,65.4649963378906,2.0663266,22.8
"67",2010,"FIN","Finland",56.0250015258789,3.12,53.83161,NA,40,72.2600021362305,2.1666667,40
"68",2010,"FRA","France",50.9230003356934,2.862,54.95353,NA,20,74.8379974365234,2.8225625,20
"69",2010,"DEU","Germany",52.7879981994629,2.153,NA,NA,31.7,70.0429992675781,2.8418367,31.7
"70",2010,"GRC","Greece",44.75,1.359,49.8428,NA,17.3,68.0169982910156,2.8503401,17.3
"71",2010,"HUN","Hungary",43.7770004272461,3.414,56.50623,NA,9.1,64.754997253418,2.2647393,9.1
"72",2010,"IRL","Ireland",53.2960014343262,3.732,52.38829,NA,16.1,75.9089965820313,1.978458,16.1
"73",2010,"ITA","Italy",37.7849998474121,1.348,57.61889,NA,20.3,67.6230010986328,3.0323131,20.3
"74",2010,"LVA","Latvia",53.8499984741211,1.517,62.74574,NA,20,68.3109970092773,NA,20
"75",2010,"LTU","Lithuania",52.5460014343262,NA,59.41859,NA,19.1,66.6100006103516,NA,19.1
"76",2010,"LUX","Luxembourg",48.8279991149902,4.006,51.91592,NA,20,85.5510025024414,2.7352607,20
"77",2010,"MLT","Malta",34.0830001831055,NA,56.33764,NA,8.7,73.1460037231445,NA,8.7
"78",2010,"NLD","Netherlands",58.2490005493164,1.536,51.83337,NA,38.7,79.2949981689453,2.8843536,38.7
"79",2010,"POL","Poland",48.2719993591309,1.336,59.17546,NA,17.9,56.6430015563965,2.3905897,17.9
"80",2010,"PRT","Portugal",55.8139991760254,1.385,53.30073,NA,27.4,61.5460014343262,3.3078232,27.4
"81",2010,"ROU","Romania",46.3310012817383,NA,56.42722,NA,9.8,40.6730003356934,NA,9.8
"82",2010,"SVK","Slovak Republic",50.6370010375977,2,59.7486,NA,15.3,59.6500015258789,2.6349208,15.3
"83",2010,"SVN","Slovenia",53.1829986572266,2.123,57.84214,NA,10.8,58.601001739502,2.7029479,10.8
"84",2010,"ESP","Spain",51.5439987182617,1.462,53.92973,NA,34.1,72.8280029296875,2.6598639,34.1
