"","year","country","female_managers","male_managers","avg_firmsize","female_hours","male_hours","female_pt","male_pt"
"1",2008,"AT",0.271184632372291,0.728815367627709,19.3736248035434,44.6846275752773,49.7330591461026,"16%","5%"
"2",2008,"BE",0.312530118156738,0.687469881843262,29.3274255435776,NA,NA,"15%","4%"
"3",2008,"CH",0.299011414520375,0.700988585479625,NA,35.5671852899576,41.9108280254777,"42%","8%"
"4",2008,"DE",0.273290957046427,0.726709042953573,NA,41.1201044386423,47.0756646216769,"20%","4%"
"5",2008,"DK",0.227154536409861,0.772845463590139,24.8822012037833,40.3372844827586,43.4916048418586,"12%","4%"
"6",2008,"ES",NA,NA,NA,42.1403238242097,43.3871906841339,"8%","2%"
"7",2008,"FI",0.290012967493713,0.709987032506287,NA,40.1880733944954,NA,"6%","4%"
"8",2008,"FR",0.346381042829974,0.653618957170026,NA,NA,NA,"12%","3%"
"9",2008,"IE",0.395073341001473,0.604926658998527,NA,NA,NA,"17%","3%"
"10",2008,"IT",0.299024585948104,0.700975414051896,41.84039396155,NA,NA,"11%","2%"
"11",2008,"NL",0.273519904889608,0.726480095110392,NA,32.0205047318612,43.3119516474946,"52%","10%"
"12",2008,"NO",0.298778241213768,0.701221758786232,NA,NA,39.537984496124,"8%","3%"
"13",2008,"PT",0.295482665947156,0.704517334052844,30.1384994316029,NA,NA,"6%","3%"
"14",2008,"SE",0.310461165747316,0.689538834252684,NA,39.1936339522546,NA,"15%","5%"
"15",2008,"UK",NA,NA,NA,NA,NA,"18%","4%"
"16",2009,"AT",0.26226818636109,0.737731813638909,19.0411720510894,44.0619930475087,49.6964901602759,"18%","5%"
"17",2009,"BE",0.324335203084805,0.675664796915195,28.7742527049331,NA,NA,"18%","4%"
"18",2009,"CH",0.312642863180345,0.687357136819655,NA,36.0954248366013,41.5771543086172,"38%","8%"
"19",2009,"DE",0.266378043008177,0.733621956991823,NA,41.8366834170854,46.2392523364486,"17%","5%"
"20",2009,"DK",0.239849206057242,0.760150793942758,NA,40.1204545454545,43.1327538522323,"10%","5%"
"21",2009,"ES",NA,NA,NA,42.5826538176427,44.2545941807044,"10%","2%"
"22",2009,"FI",0.297048763534909,0.702951236465091,NA,40.6340909090909,NA,"8%","5%"
"23",2009,"FR",0.347313001273331,0.652686998726669,NA,NA,NA,"11%","3%"
"24",2009,"IE",0.387648947860302,0.612351052139698,NA,NA,NA,"18%","4%"
"25",2009,"IT",0.300519673791511,0.699480326208489,41.4980822165065,NA,NA,"11%","2%"
"26",2009,"NL",0.282959287214476,0.717040712785524,NA,32.5423234092236,43.2994066636239,"52%","10%"
"27",2009,"NO",0.328264084010941,0.671735915989059,NA,37.6490066225166,NA,"9%","4%"
"28",2009,"PT",0.301568394330637,0.698431605669363,28.7975308641975,NA,NA,"5%","3%"
"29",2009,"SE",0.315562979237783,0.684437020762217,NA,NA,NA,"15%","5%"
"30",2009,"UK",0.35620496018044,0.64379503981956,NA,NA,NA,"19%","4%"
"31",2010,"AT",0.278583867471783,0.721416132528216,18.7998441153546,43.2224188790561,49.2622881355932,"19%","4%"
"32",2010,"BE",0.327780626375074,0.672219373624926,27.1481207183855,NA,NA,"17%","5%"
"33",2010,"CH",0.335638691975984,0.664361308024016,NA,36.5158084914182,42.1324470704087,"38%","9%"
"34",2010,"DE",0.271266159235248,0.728733840764752,NA,40.1395348837209,46.5704365079365,"20%","4%"
"35",2010,"DK",NA,NA,25.3513263417643,40.5632054176072,44.0271646859083,"11%","5%"
"36",2010,"ES",NA,NA,NA,43.3682965299685,45.284509202454,"7%","2%"
"37",2010,"FI",0.277820667885071,0.722179332114929,NA,39.7921760391198,NA,"8%","5%"
"38",2010,"FR",0.356868347931429,0.643131652068571,NA,NA,NA,"12%","4%"
"39",2010,"IE",0.378890427953382,0.621109572046618,NA,NA,NA,"17%","4%"
"40",2010,"IT",0.29000419729378,0.70999580270622,41.7414233322501,NA,NA,"11%","2%"
"41",2010,"NL",0.270344429017643,0.729655570982357,NA,31.2159491884263,42.6889596602972,"55%","11%"
"42",2010,"NO",0.33230164619264,0.66769835380736,NA,37.5369127516779,NA,"8%","3%"
"43",2010,"PT",0.307840482738192,0.692159517261808,30.4787074684357,NA,NA,"4%","3%"
"44",2010,"SE",0.303561365311173,0.696438634688827,NA,39.4947333772219,NA,"13%","6%"
"45",2010,"UK",0.352448581509551,0.647551418490449,NA,NA,NA,"20%","5%"
"46",2011,"AT",0.272403048633202,0.727596951366798,11.7485580004273,42.0587262200165,48.955069124424,"20%","4%"
"47",2011,"BE",0.296831296785258,0.703168703214742,24.2947368421053,NA,NA,"17%","4%"
"48",2011,"CH",0.33544485269807,0.66455514730193,NA,35.8094098883573,42.1163187047294,"41%","8%"
"49",2011,"DE",0.274846847503122,0.725153152496878,NA,40.9615384615385,46.9162561576355,"16%","3%"
"50",2011,"DK",NA,NA,13.4845594913715,40.3398058252427,42.7556818181818,"6%","2%"
"51",2011,"ES",NA,NA,NA,40.3898858075041,43.3403389830508,"7%","2%"
"52",2011,"FI",0.314111215900184,0.685888784099816,NA,40.1428571428571,NA,"5%","4%"
"53",2011,"FR",0.387193578920427,0.612806421079573,NA,NA,NA,"11%","3%"
"54",2011,"IE",0.331954519130244,0.668045480869756,NA,NA,NA,"16%","4%"
"55",2011,"IT",0.239166264532761,0.760833735467239,29.5513284399876,NA,NA,"13%","2%"
"56",2011,"NL",0.293614804137441,0.706385195862559,NA,32.0511210762332,40.8778827977316,"54%","12%"
"57",2011,"NO",0.317009702733444,0.682990297266556,NA,NA,39.4759615384615,"11%","4%"
"58",2011,"PT",0.330932686731424,0.669067313268576,32.5355566454144,NA,NA,"4%","4%"
"59",2011,"SE",0.33392828950537,0.66607171049463,NA,39.4151898734177,NA,"12%","5%"
"60",2011,"UK",0.336691480179719,0.663308519820281,NA,NA,NA,"21%","7%"
"61",2012,"AT",0.297353835011318,0.702646164988682,11.7814457831325,44.4960971379011,48.5985985985986,"19%","4%"
"62",2012,"BE",0.320743152267162,0.679256847732838,22.0468888233559,NA,NA,"19%","4%"
"63",2012,"CH",0.336052727408189,0.663947272591811,NA,35.3840057636888,41.9349784567176,"42%","9%"
"64",2012,"DE",0.285195784602834,0.714804215397166,NA,41.3202099737533,46.7981432360743,"15%","4%"
"65",2012,"DK",NA,NA,12.6748798076923,40.8333333333333,NA,"3%","2%"
"66",2012,"ES",NA,NA,NA,39.3807890222985,42.8680057388809,"7%","3%"
"67",2012,"FI",0.308435883213015,0.691564116786985,NA,40.839378238342,42.2909535452323,"5%","4%"
"68",2012,"FR",0.38059078762948,0.61940921237052,NA,NA,NA,"11%","3%"
"69",2012,"IE",0.32507197316863,0.67492802683137,NA,NA,NA,"17%","4%"
"70",2012,"IT",0.248504532784757,0.751495467215243,29.4118137430035,NA,NA,"13%","3%"
"71",2012,"NL",0.286108424588591,0.713891575411409,NA,32.5222457627119,41.0637191157347,"50%","11%"
"72",2012,"NO",0.322453880807772,0.677546119192228,NA,37.1610738255034,NA,"10%","3%"
"73",2012,"PT",0.349870142175212,0.650129857824788,32.3192190669371,NA,NA,"6%","5%"
"74",2012,"SE",0.343825019225954,0.656174980774046,NA,NA,NA,"11%","5%"
"75",2012,"UK",0.340567450575805,0.659432549424195,NA,NA,NA,"24%","7%"
"76",2013,"AT",0.289808758882715,0.710191241117285,11.8019754276078,42.6257510729614,48.21165438714,"20%","3%"
"77",2013,"BE",0.311845502214107,0.688154497785893,24.2534562211982,NA,NA,"16%","3%"
"78",2013,"CH",0.333957140062192,0.666042859937808,NA,35.3962962962963,41.8492032646716,"42%","10%"
"79",2013,"DE",0.287841810305115,0.712158189694885,NA,40.968958611482,46.5682474226804,"17%","4%"
"80",2013,"DK",NA,NA,12.5900178253119,40.0615711252654,43.1542904290429,"2%","2%"
"81",2013,"ES",NA,NA,NA,38.2376425855513,42.0156985871272,"9%","2%"
"82",2013,"FI",0.291941619663942,0.708058380336058,NA,39.9357798165138,44.4594594594595,"6%","3%"
"83",2013,"FR",0.336988889806075,0.663011110193925,NA,NA,NA,"12%","4%"
"84",2013,"IE",0.330453195460807,0.669546804539193,NA,NA,NA,"15%","5%"
"85",2013,"IT",0.260044589758364,0.739955410241636,29.9596236303001,NA,NA,"13%","3%"
"86",2013,"NL",0.232327535821462,0.767672464178538,NA,33.6334106728538,40.1088560885609,"44%","12%"
"87",2013,"NO",0.333492330586921,0.666507669413079,NA,37.1757575757576,39.8707037643208,"8%","4%"
"88",2013,"PT",0.334868117843406,0.665131882156594,32.3822674418605,NA,NA,"4%","4%"
"89",2013,"SE",0.343118964901146,0.656881035098854,NA,NA,NA,"9%","5%"
"90",2013,"UK",0.33170142434152,0.668298575658479,NA,NA,NA,"24%","6%"
"91",2014,"AT",0.299973680468576,0.700026319531423,11.8523536165327,42.3653543307087,48.0246353322528,"22%","4%"
"92",2014,"BE",0.3142711800011,0.6857288199989,23.3042113523411,NA,NA,"16%","4%"
"93",2014,"CH",0.34581645523341,0.65418354476659,NA,34.7087517934003,41.8856372737774,"46%","10%"
"94",2014,"DE",0.286799033342954,0.713200966657046,NA,40.9305194805195,46.1013379255531,"17%","4%"
"95",2014,"DK",NA,NA,12.5634874195436,40.4335511982571,42.7688,"2%","3%"
"96",2014,"ES",NA,NA,NA,38.8810916179337,41.6963394342762,"10%","3%"
"97",2014,"FI",0.307579280533562,0.692420719466438,NA,41.8666666666667,43.5023041474654,"5%","4%"
"98",2014,"FR",0.307765234060329,0.692234765939671,NA,NA,NA,"12%","3%"
"99",2014,"IE",0.336732794280059,0.663267205719941,NA,NA,NA,"15%","4%"
"100",2014,"IT",0.257047307532279,0.742952692467721,31.0700313933832,NA,NA,"13%","3%"
"101",2014,"NL",0.262837185227654,0.737162814772346,NA,33.8934131736527,40.3934782608696,"44%","10%"
"102",2014,"NO",0.328147739916906,0.671852260083094,NA,37.3273273273273,39.6415384615385,"10%","4%"
"103",2014,"PT",0.349948555809051,0.650051444190949,31.1214137214137,NA,NA,"5%","4%"
"104",2014,"SE",0.359134952084648,0.640865047915352,NA,NA,NA,"9%","6%"
"105",2014,"UK",0.353049482402923,0.646950517597077,NA,NA,NA,"22%","7%"
"106",2015,"AT",0.294057196784947,0.705942803215053,11.8794223826715,42.3766339869281,47.4953940634596,"20%","5%"
"107",2015,"BE",0.321762760719524,0.678237239280476,24.9225935447015,NA,NA,"15%","5%"
"108",2015,"CH",0.362376143285234,0.637623856714766,NA,34.5717375630858,41.942246835443,"43%","11%"
"109",2015,"DE",0.286851054002767,0.713148945997233,NA,40.67125,45.9801045784976,"17%","4%"
"110",2015,"DK",NA,NA,13.2307197943445,40.0633187772926,NA,"3%","3%"
