Series Name,Series Code,Country Name,Country Code,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Ghana,GHA,..,0,..,0,..,0,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Greece,GRC,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Greenland,GRL,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Grenada,GRD,..,..,..,..,..,..,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Guam,GUM,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Guatemala,GTM,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Guinea,GIN,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Guinea-Bissau,GNB,..,..,..,..,..,..,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Guyana,GUY,..,..,..,..,..,..,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Haiti,HTI,..,..,..,..,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Honduras,HND,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,"Hong Kong SAR, China",HKG,..,0,..,0,..,0,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Hungary,HUN,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Iceland,ISL,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,India,IND,..,0,..,0,..,0,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Indonesia,IDN,..,0,..,0,..,0,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,"Iran, Islamic Rep.",IRN,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Iraq,IRQ,..,..,..,..,..,..,..,0,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Ireland,IRL,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Israel,ISR,..,0,..,0,..,0,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Italy,ITA,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Jamaica,JAM,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Japan,JPN,..,0,..,0,..,0,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Jordan,JOR,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Kazakhstan,KAZ,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Kenya,KEN,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Kiribati,KIR,..,..,..,..,..,..,..,0,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,"Korea, Dem. People’s Rep.",PRK,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,"Korea, Rep.",KOR,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Kosovo,XKX,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Kuwait,KWT,..,0,..,0,..,0,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Kyrgyz Republic,KGZ,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Lao PDR,LAO,..,0,..,0,..,0,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Latvia,LVA,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Lebanon,LBN,..,0,..,0,..,0,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Lesotho,LSO,..,0,..,0,..,0,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Liberia,LBR,..,0,..,0,..,0,..,0,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Libya,LBY,..,..,..,..,..,..,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Lithuania,LTU,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Luxembourg,LUX,..,..,..,..,..,..,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,"Macedonia, FYR",MKD,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Madagascar,MDG,..,0,..,0,..,0,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Malawi,MWI,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Malaysia,MYS,..,0,..,0,..,0,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Maldives,MDV,..,..,..,..,..,..,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Mali,MLI,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Malta,MLT,..,..,..,..,..,..,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Marshall Islands,MHL,..,..,..,..,..,..,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Mauritania,MRT,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Mauritius,MUS,..,0,..,0,..,0,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Mexico,MEX,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Moldova,MDA,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Monaco,MCO,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Mongolia,MNG,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Montenegro,MNE,..,0,..,0,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Morocco,MAR,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Mozambique,MOZ,..,0,..,0,..,0,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Myanmar,MMR,..,..,..,..,..,..,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Namibia,NAM,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Nauru,NRU,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Nepal,NPL,..,0,..,0,..,0,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Netherlands,NLD,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,New Zealand,NZL,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Nicaragua,NIC,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Niger,NER,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Nigeria,NGA,..,0,..,0,..,0,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Norway,NOR,..,0,..,0,..,0,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Oman,OMN,..,0,..,0,..,0,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Pakistan,PAK,..,0,..,0,..,0,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Palau,PLW,..,..,..,..,..,..,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Panama,PAN,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Papua New Guinea,PNG,..,0,..,0,..,0,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Paraguay,PRY,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Peru,PER,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Philippines,PHL,..,0,..,0,..,0,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Poland,POL,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Portugal,PRT,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Puerto Rico,PRI,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Qatar,QAT,..,..,..,..,..,..,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Romania,ROU,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Russian Federation,RUS,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Rwanda,RWA,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Samoa,WSM,..,..,..,..,..,..,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,San Marino,SMR,..,..,..,..,..,..,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Sao Tome and Principe,STP,..,..,..,..,..,..,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Saudi Arabia,SAU,..,0,..,0,..,0,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Senegal,SEN,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Serbia,SRB,..,0,..,0,..,0,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Seychelles,SYC,..,..,..,..,..,..,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Sierra Leone,SLE,..,..,..,0,..,0,..,0,..,0
