Series Name,Series Code,Country Name,Country Code,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,"Venezuela, RB",VEN,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Vietnam,VNM,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,West Bank and Gaza,PSE,..,0,..,0,..,0,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,"Yemen, Rep.",YEM,..,0,..,0,..,0,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Zambia,ZMB,..,0,..,0,..,0,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Zimbabwe,ZWE,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Arab World,ARB,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Caribbean small states,CSS,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Central Europe and the Baltics,CEB,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Early-demographic dividend,EAR,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,East Asia & Pacific,EAS,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,East Asia & Pacific (excluding high income),EAP,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,East Asia & Pacific (IDA & IBRD countries),TEA,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Euro area,EMU,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Europe & Central Asia,ECS,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Europe & Central Asia (excluding high income),ECA,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Europe & Central Asia (IDA & IBRD countries),TEC,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,European Union,EUU,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Fragile and conflict affected situations,FCS,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Heavily indebted poor countries (HIPC),HPC,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,High income,HIC,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,IBRD only,IBD,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,IDA & IBRD total,IBT,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,IDA blend,IDB,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,IDA only,IDX,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,IDA total,IDA,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Late-demographic dividend,LTE,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Latin America & Caribbean,LCN,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Latin America & Caribbean (excluding high income),LAC,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Latin America & the Caribbean (IDA & IBRD countries),TLA,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Least developed countries: UN classification,LDC,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Low & middle income,LMY,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Low income,LIC,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Lower middle income,LMC,..,..,..,..,..,..,..,..,..,..
